student_id,sleep_hours,study_hours,stress_level,feedback,risk,department,gpa
ST-1001,7.4,5.2,1,"Relaxed pace this semester.",Low,Computer Science,2.83
ST-1002,8.2,4.7,4,"Coursework is manageable and stress is low.",Low,Computer Science,2.9
ST-1003,8.6,5.1,3,"Good balance between study and extracurriculars.",Low,Engineering,3.69
ST-1004,7.7,4.0,3,"Feeling well rested and enjoying my classes.",Low,Engineering,2.91
ST-1005,3.7,9.5,9,"Constant headaches and extreme fatigue.",High,Business,2.94
ST-1006,7.6,3.2,2,"Feeling well rested and enjoying my classes.",Low,Computer Science,2.85
ST-1007,7.7,3.6,3,"Feeling well rested and enjoying my classes.",Low,Psychology,3.5
ST-1008,7.9,3.8,2,"Good balance between study and extracurriculars.",Low,Data Science,3.39
ST-1009,7.6,3.8,2,"Relaxed pace this semester.",Low,Computer Science,3.05
ST-1010,7.3,7.6,5,"Slight pressure before project submissions.",High,Engineering,3.03
ST-1011,6.2,8.5,5,"Studying long hours but staying healthy.",Medium,Business,3.27
ST-1012,7.3,5.0,1,"Sleep is great and projects are on schedule.",Low,Computer Science,3.75
ST-1013,5.2,8.5,7,"Constant headaches and extreme fatigue.",High,Psychology,3.38
ST-1014,6.4,8.4,6,"Studying long hours but staying healthy.",Medium,Engineering,2.92
ST-1015,4.1,10.7,8,"Overwhelmed by back-to-back exams and assignments.",High,Business,3.8
ST-1016,4.6,8.5,9,"Struggling to keep up with deadline pressure.",Medium,Data Science,3.39
ST-1017,4.1,8.7,7,"Extremely exhausted and running on 4 hours of sleep.",High,Engineering,3.77
ST-1018,5.8,7.6,5,"Slight pressure before project submissions.",Medium,Computer Science,3.88
ST-1019,8.1,5.2,2,"Good balance between study and extracurriculars.",Low,Business,3.27
ST-1020,5.7,6.6,6,"Midterm week is busy but keeping up.",Medium,Engineering,3.28
ST-1021,8.4,3.2,1,"Feeling well rested and enjoying my classes.",Low,Data Science,3.45
ST-1022,8.0,4.6,4,"Coursework is manageable and stress is low.",Low,Computer Science,3.37
ST-1023,7.9,4.3,4,"Feeling well rested and enjoying my classes.",Low,Psychology,3.01
ST-1024,7.1,6.3,5,"Sleep varies depending on assignment deadlines.",Medium,Computer Science,2.87
ST-1025,7.5,5.8,4,"Relaxed pace this semester.",Medium,Data Science,3.26
ST-1026,5.4,11.5,8,"Struggling to keep up with deadline pressure.",High,Business,3.72
ST-1027,3.8,8.5,10,"High anxiety levels and severe sleep deprivation.",High,Data Science,3.75
ST-1028,7.0,8.0,7,"Sleep varies depending on assignment deadlines.",Medium,Psychology,3.11
ST-1029,6.6,7.9,4,"Midterm week is busy but keeping up.",Medium,Data Science,3.87
ST-1030,5.6,7.3,5,"Midterm week is busy but keeping up.",Medium,Business,3.81
ST-1031,4.6,10.5,7,"Constant headaches and extreme fatigue.",Medium,Data Science,3.24
ST-1032,7.5,5.0,3,"Coursework is manageable and stress is low.",Low,Business,3.42
ST-1033,7.6,5.3,1,"Feeling well rested and enjoying my classes.",Low,Data Science,3.54
ST-1034,7.4,3.8,3,"Feeling well rested and enjoying my classes.",Low,Business,3.9
ST-1035,6.6,6.8,4,"Studying long hours but staying healthy.",Medium,Engineering,3.11
ST-1036,7.2,3.3,2,"Good balance between study and extracurriculars.",Low,Computer Science,3.83
ST-1037,8.3,3.8,4,"Good balance between study and extracurriculars.",Low,Data Science,3.59
ST-1038,6.1,6.0,5,"Slight pressure before project submissions.",Medium,Computer Science,2.9
ST-1039,5.5,6.2,5,"Studying long hours but staying healthy.",High,Psychology,3.41
ST-1040,5.6,6.9,4,"Slight pressure before project submissions.",Medium,Business,3.41
ST-1041,8.1,5.6,2,"Coursework is manageable and stress is low.",Low,Data Science,3.53
ST-1042,8.5,4.0,4,"Coursework is manageable and stress is low.",Low,Data Science,3.77
ST-1043,7.9,3.6,4,"Good balance between study and extracurriculars.",Low,Computer Science,3.22
ST-1044,6.3,6.7,4,"Slight pressure before project submissions.",Medium,Data Science,3.05
ST-1045,4.6,11.8,7,"High anxiety levels and severe sleep deprivation.",High,Business,3.24
ST-1046,6.2,8.0,7,"Studying long hours but staying healthy.",Medium,Engineering,2.84
ST-1047,6.0,7.8,4,"Studying long hours but staying healthy.",Medium,Computer Science,3.22
ST-1048,5.0,9.2,10,"Extremely exhausted and running on 4 hours of sleep.",High,Business,3.56
ST-1049,5.7,8.3,6,"Manageable stress but need better time management.",Medium,Engineering,3.49
ST-1050,8.3,4.1,2,"Relaxed pace this semester.",Low,Engineering,3.41
ST-1051,7.6,4.3,3,"Sleep is great and projects are on schedule.",Low,Psychology,3.4
ST-1052,5.4,11.1,7,"High anxiety levels and severe sleep deprivation.",High,Data Science,3.36
ST-1053,5.0,10.9,8,"Overwhelmed by back-to-back exams and assignments.",High,Business,3.17
ST-1054,7.2,6.2,7,"Studying long hours but staying healthy.",Medium,Computer Science,3.07
ST-1055,8.3,3.0,1,"Sleep is great and projects are on schedule.",Low,Psychology,3.34
ST-1056,7.3,6.3,5,"Manageable stress but need better time management.",Medium,Business,3.31
ST-1057,5.3,10.6,10,"Constant headaches and extreme fatigue.",High,Business,3.45
ST-1058,6.0,6.6,6,"Studying long hours but staying healthy.",Medium,Data Science,3.62
ST-1059,7.6,3.8,3,"Relaxed pace this semester.",Medium,Data Science,3.1
ST-1060,6.9,6.2,7,"Slight pressure before project submissions.",Medium,Data Science,3.05
